#Organism Group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Acinetobacter baumannii	MRSN11764	"MRSN 11764","MRSN11764","SRS1350049"		PDT000115280.1	2016-03-18T23:12:13Z	USA:Washington, DC	urine	clinical	PDS000005893.1	9		SAMN04568504	GCA_016520085.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-163=COMPLETE,blaOXA-121=COMPLETE	
Acinetobacter baumannii	MRSN2024	"MRSN 2024","MRSN2024","SRS1296921"		PDT000107126.1	2016-02-16T20:22:58Z	USA:Washington, DC	wound	clinical	PDS000047353.1	36		SAMN04491037	GCA_016535825.1	abaF=COMPLETE,adeS_Q163STOP=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,bla=HMM,blaADC-176=COMPLETE,blaADC-80=COMPLETE,blaOXA-23=COMPLETE,blaOXA-94=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN2400	"MRSN 2400","MRSN2400","SRS1579069"		PDT000139968.1	2016-07-22T04:21:06Z	USA:Washington, DC	SURVEILLANCE	clinical	PDS000047353.1	36		SAMN05428856	GCA_016518235.1	abaF=COMPLETE,adeS_Q163STOP=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=PARTIAL_END_OF_CONTIG,bla=HMM,blaADC-176=COMPLETE,blaADC-80=COMPLETE,blaOXA-23=COMPLETE,blaOXA-94=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN11844	"MRSN 11844","MRSN11844","MRSN_ISO_11844","SRS1296722"		PDT000107073.1	2016-02-16T17:26:25Z	USA:Washington, DC	wound	environmental/other	PDS000047350.1		6	SAMN04487140	GCA_016536525.1	abaF=COMPLETE,adeS_H189Y=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC=COMPLETE,blaOXA-317=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(39)=PARTIAL_END_OF_CONTIG	
Acinetobacter baumannii	TG22332	"TG22332"		PDT000016431.1	2013-08-21T23:05:19Z	USA	tracheal aspirate	clinical	PDS000047347.1	9		SAMN02055529	GCA_000453225.1	aadA2=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,blaADC-25=COMPLETE,blaOXA-223=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	TG22336	"TG22336"		PDT000016432.1	2013-08-21T23:05:51Z	USA	tracheal aspirate	clinical	PDS000047347.1	9		SAMN02055530	GCA_000453245.1	aadA2=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,blaADC-25=COMPLETE,blaOXA-223=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2020CK-00480	"2020CK-00480","Acinetobacter_baumannii_2020CK-00480","SRS7859777"		PDT000908005.1	2020-12-09T18:29:33Z	USA	urine	clinical	PDS000084237.1	29		SAMN17039471	GCA_016470435.1	aadA2=COMPLETE,abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,blaADC-25=COMPLETE,blaOXA-223=COMPLETE,blaOXA-24=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00796	"2021CK-00796","Acinetobacter_baumannii_2021CK-00796","SRS8646363"		PDT001001330.1	2021-04-07T07:27:26Z	USA	Wound/Abscess	clinical	PDS000084237.1	29		SAMN18636553	GCA_017835715.1	aadA2=COMPLETE,abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,blaADC-25=COMPLETE,blaOXA-223=COMPLETE,blaOXA-24=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	MRSN11660	"MRSN 11660","MRSN11660","MRSN_ISO_11660","SRS1296702"		PDT000107062.1	2016-02-16T17:26:24Z	USA:Washington, DC	blood	environmental/other	PDS000047338.1		17	SAMN04485904	GCA_016536645.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=PARTIAL_END_OF_CONTIG,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaADC-25=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN7543	"MRSN 7543","MRSN7543","SRS1337665"		PDT000114209.1	2016-03-14T09:12:01Z	USA:Washington, DC	wound	clinical	PDS000047338.1	35	17	SAMN04549306	GCA_016525875.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=PARTIAL,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-25=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN4943	"MRSN4943"		PDT000534395.1	2019-06-27T03:21:12Z	USA	respiratory	clinical	PDS000047338.1	35	46	SAMN12087707	GCA_006492305.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=PARTIAL_END_OF_CONTIG,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaADC=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2019CK-00032	"2019CK-00032","Clinical","SRS6608270"		PDT000733215.1	2020-05-07T16:16:15Z	USA	sputum	clinical	PDS000062506.2	7		SAMN14792037	GCA_016489845.1	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-56=COMPLETE,blaOXA-83=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2019CK-00004	"2019CK-00004","Clinical","SRS6608268"		PDT000733217.1	2020-05-07T16:16:16Z	USA	sputum	clinical	PDS000062506.2	7		SAMN14792009	GCA_016489905.1	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-56=COMPLETE,blaOXA-83=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,msr(E)=PARTIAL,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2020CK-00166	"2020CK-00166","Acinetobacter_baumannii_2020CK-00166","SRS7260898"		PDT000821575.1	2020-08-27T00:28:55Z	USA	Tracheal Aspirate/Wash	clinical	PDS000062506.2	19		SAMN15907101	GCA_016483805.1	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-56=COMPLETE,blaOXA-83=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2019GO-00105	"2019GO-00105","SRS6523199"		PDT000725309.1	2020-04-23T14:12:27Z	USA	Bronchial washing	clinical	PDS000073539.1	8	38	SAMN14669294	GCA_016490265.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=PARTIAL,ant(3'')-IIa=PARTIAL_END_OF_CONTIG,blaADC-33=COMPLETE,blaOXA-82=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	ARLG_6328	"ARLG_6328","SRS7470399"		PDT000863663.1	2020-10-13T03:30:40Z	USA:Pittsburgh	respiratory	clinical	PDS000073539.1	8	34	SAMN16351114	GCA_014882035.1	aac(3)-Ia=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=PARTIAL_END_OF_CONTIG,blaADC-33=COMPLETE,blaOXA-82=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE	
Acinetobacter baumannii	ARLG_6420	"ARLG_6420","SRS7470446"		PDT000863573.1	2020-10-13T03:05:14Z	USA:Cleveland	blood	clinical	PDS000073541.1	15		SAMN16351204	GCA_014880215.1	aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeS_T153M=POINT,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-222=COMPLETE,blaOXA-207=COMPLETE,blaOXA-95=COMPLETE,gyrA_S81L=POINT,msr(E)=PARTIAL_END_OF_CONTIG,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	ARLG_6358	"ARLG_6358","SRS7470378"		PDT000863643.1	2020-10-13T03:25:06Z	USA:Cleveland	wound	clinical	PDS000073541.1	11		SAMN16351144	GCA_014881635.1	aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeS_T153M=POINT,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-222=COMPLETE,blaOXA-207=COMPLETE,blaOXA-95=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	ARLG_6349	"ARLG_6349","SRS7470422"		PDT000863647.1	2020-10-13T03:26:05Z	USA:Cleveland	urine	clinical	PDS000073541.1	11		SAMN16351135	GCA_014881705.1	aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeS_T153M=POINT,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-222=COMPLETE,blaOXA-207=COMPLETE,blaOXA-95=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7698	"MRSN 7698","MRSN7698","SRS1335155"		PDT000113606.1	2016-03-11T04:26:16Z	USA:Washington, DC	wound	clinical	PDS000005859.1	14		SAMN04545405	GCA_016528425.1	aadA1=COMPLETE,abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=PARTIAL_END_OF_CONTIG,ant(3'')-IIa=COMPLETE,aph(3')-Ia=PARTIAL_END_OF_CONTIG,aph(3')-VIa=COMPLETE,aph(6)-Id=PARTIAL,blaADC-101=COMPLETE,blaOXA-90=COMPLETE,dfrA1=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN7119	"MRSN 7119","MRSN7119","SRS1339107"		PDT000114616.1	2016-03-15T18:10:45Z	USA:Washington, DC	wound	clinical	PDS000005859.1	14		SAMN04555220	GCA_016521995.1	aadA1=COMPLETE,abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=PARTIAL_END_OF_CONTIG,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=PARTIAL,blaADC-101=COMPLETE,blaOXA-90=COMPLETE,dfrA1=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	MRSN7828	"MRSN 7828","MRSN7828","SRS1317396"		PDT000111421.1	2016-03-01T22:25:58Z	USA:Washington, DC	Surveillance	clinical	PDS000005788.1	0		SAMN04525209	GCA_016532925.1	aadA1=COMPLETE,adeS_G336S=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-84=COMPLETE,blaCARB-16=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-855=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7829	"MRSN 7829","MRSN7829","SRS1337505"		PDT000113807.1	2016-03-12T01:27:06Z	USA:Washington, DC	wound	clinical	PDS000005788.1	0		SAMN04547107	GCA_016527345.1	aadA1=COMPLETE,adeS_G336S=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-84=COMPLETE,blaCARB-16=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-855=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7277	"MRSN 7277","MRSN7277","SRS1334247"		PDT000113168.1	2016-03-10T17:27:05Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005858.1	3		SAMN04515405	GCA_016532495.1	amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,bla=HMM,blaADC-160=COMPLETE,blaOXA-208=COMPLETE,blaOXA-235=COMPLETE,gyrA_S81L=POINT,parC_E88K=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7269	"MRSN 7269","MRSN7269","SRS1340443"		PDT000114678.1	2016-03-15T20:10:26Z	USA:Washington, DC	respiratory	clinical	PDS000005858.1	3		SAMN04555303	GCA_016521345.1	amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,bla=HMM,blaADC-160=COMPLETE,blaOXA-208=COMPLETE,blaOXA-235=COMPLETE,gyrA_S81L=POINT,parC_E88K=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7689	"MRSN 7689","MRSN7689","SRS1338483"		PDT000114299.1	2016-03-14T20:15:41Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005860.1	9		SAMN04549880	GCA_016524145.1	abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-100=COMPLETE,gyrA_S81L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	MRSN7143	"MRSN 7143","MRSN7143","SRS1339082"		PDT000114579.1	2016-03-15T18:10:43Z	USA:Washington, DC	wound	clinical	PDS000005860.1	9		SAMN04555180	GCA_016523005.1	abaF=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-100=COMPLETE,gyrA_S81L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	UH532_386	"ABUH_SP_0091","UH532_386"		PDT000046673.3	2015-08-11T17:31:46Z	USA	bodily fluid	clinical	PDS000005691.1	19		SAMN03084816	GCA_000809365.3	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	UH532_387	"ABUH_SP_0092","UH532_387"		PDT000046679.3	2015-08-11T17:31:44Z	USA	bodily fluid	clinical	PDS000005691.1	19		SAMN03084817	GCA_000809485.3	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-162=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,catB8=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	ABUH505	"ABUH505","GCID_ACINM_00281_biosample","SRS2509429"		PDT000216845.1	2017-06-08T22:14:17Z	USA	wound/abscess	clinical	PDS000047367.1	0		SAMN06461852	GCA_002183505.1	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeC=MISTRANSLATION,adeS_G336S=POINT,adeS_N125K=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC=COMPLETE,blaOXA-24=COMPLETE,blaOXA-65=COMPLETE,blaTEM-1=COMPLETE,catB3=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	ARLG-1860	"ARLG-1860","GCID_PABU_78_biosam","SRS2146845"		PDT000217700.1	2017-06-09T13:02:01Z	USA: Unknown		clinical	PDS000047367.1	0		SAMN06827873	GCA_002184365.1	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeC=MISTRANSLATION,adeS_G336S=POINT,adeS_N125K=POINT,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC=COMPLETE,blaOXA-24=COMPLETE,blaOXA-65=COMPLETE,blaTEM-1=COMPLETE,catB3=COMPLETE,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE	
Acinetobacter baumannii	ABUH502	"ABUH502","GCID_ACINM_00280_biosample","SRS2509430"		PDT000216790.1	2017-06-08T22:04:17Z	USA	wound/abscess	clinical	PDS000047368.1	0		SAMN06461853	GCA_002182345.1	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeC=MISTRANSLATION,adeS_G336S=POINT,adeS_N125K=POINT,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-214=COMPLETE,blaOXA-24=COMPLETE,blaOXA-65=COMPLETE,blaTEM-1=COMPLETE,cml=HMM,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE	
Acinetobacter baumannii	ABBL067k	"ABBL067k","SRS1099633"		PDT000092647.1	2015-10-27T21:02:30Z	USA: Chicago	blood	clinical	PDS000047366.1	4		SAMN04145688	GCA_001414985.1	aac(3)-IIe=COMPLETE,aac(6')-Ian=COMPLETE,abaF=COMPLETE,adeC=MISTRANSLATION,adeS_G336S=POINT,adeS_N125K=POINT,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC=COMPLETE,blaOXA-24=COMPLETE,blaOXA-65=COMPLETE,blaTEM-1=COMPLETE,cml=HMM,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE	
